rn,Date,name,category,hazards,tier,band
26-158,2025-12-18,Feel The Beard Minoxidil Beard Growth Oil for Men,Feeding & high chairs,chemical,4,ACT SOON
26-157,2025-12-18,Mamisan Pain Relieving Topical Ointment,Personal care & medicine,chemical,4,ACT SOON
26-156,2025-12-18,17 Stories Furniture 18-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-154,2025-12-18,TopHomer Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-153,2025-12-18,Furnulem 8-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-151,2025-12-18,Schwinn Ovation Bicycle Child Carriers,Strollers & carriers,fall,3,ACT NOW
26-146,2025-12-11,YCXXKJ Baby Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
26-141,2025-12-11,Uuoeebb Infant Walkers,"Walkers, swings & bouncers",entrapment|fall,1,ACT NOW
26-140,2025-12-11,SKCAIHT Children's Little Mermaid Costumes,Sleepwear & apparel,chemical,4,ACT SOON
26-139,2025-12-11,Little Bear 2-pack Soother Clip,Feeding & high chairs,choking|laceration,3,ACT NOW
26-131,2025-12-04,KTEBO Writing Tablet Toy,Toys,battery|burn,2,ACT NOW
26-133,2025-12-04,Cubimana Treehouse Building Toy Sets,Toys,battery|burn,2,ACT NOW
26-132,2025-12-04,Little Pea Shop Crib Bumpers,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
26-127,2025-12-04,Casaottima 13-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-129,2025-12-04,14-ounce Children's Sport Tumbler,Feeding & high chairs,choking,3,ACT NOW
26-128,2025-12-04,CreateOn Crayola-branded pip-Cubes,Toys,chemical|magnet,2,ACT NOW
26-122,2025-11-26,Outdoor Master Children's and Youth Helmets,Helmets & wheeled toys,crash,3,ACT NOW
26-121,2025-11-26,Baby High Chairs (convertible),Feeding & high chairs,entrapment|fall,1,ACT NOW
